,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
162,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Waste Management,Solid Waste,INTEGRATED SOLID WASTE MANAGEMENT,0,Develop for urban areas,Develop modern solid waste management system at big cities of the country,0,0,0,Azerbaijan,1
163,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Forestry,Forest management for mitigation,REFORESTATION,0,Reforestation,Plant new forest areas,0,0,0,Azerbaijan,1
164,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Agriculture and Forestry,Increasing crop resilience and productivity,WIND BREAKS,0,Water and land protecting forest,Water and land protecting forest strips (windbreaks),0,0,0,Azerbaijan,1
165,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Agriculture,Livestock management,PASTURE MANAGEMENT,0,Improve management,Management of pasture and agricultural lands,0,0,0,Azerbaijan,1
166,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Agriculture,Livestock management,MANURE MANAGEMENT,0,Methane collection,Collect methane gas from manure of livestock and poultry,0,0,0,Azerbaijan,1
167,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Undefined,UNDEFINED,0,Environmentally transprot,Use of environmentally friendly forms of transport,0,0,0,Azerbaijan,1
168,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Vehicle and fuel technologies,ELECTRIC VEHICLES,0,Electric vehicles in public transportation,enhancement of the use of electric vehicles in public transportation,0,0,0,Azerbaijan,1
169,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Land Transportation,HIGH-SPEED RAIL *,0,electrification of railway lines,electrification of railway lines tranistion to alternative current system in traction,0,0,0,Azerbaijan,1
170,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Land Transport,INTELLIGENT TRANSPORT SYSTEMS *,0,Intellectural transport management systems,Improvement and expansion of the scope of intellectural transport management system,0,0,0,Azerbaijan,1
171,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Land Transport,TRAFFIC MANAGEMENT,0,Traffic management through reducing traffic,elimination of traffic jams due to the construction or road junctions and underground and surface pedestrian crossings,0,0,0,Azerbaijan,1
172,MITIGATION AND ADAPTATION COMBINED AS PER INDC,Transport,Sustainable urban mobility,UNDEFINED,0,Increase metro transport,"development of metro transport, increasing number of metro stations",0,0,0,Azerbaijan,1
214,MITIGATION,Energy Efficiency,Undefined,UNDEFINED,Kingdom of Bahrain Energy Efficiency Programme (KEEP),0,"public, residential and commerical building and the industrial sector. Improve energy efficieny to reduce cumulative electricity consumption by 2030.",0,0,0,Bahrain,1
215,MITIGATION,Energy Efficiency,Undefined,UNDEFINED,Bahrain Petroleum Company (BAPCO) Energy Conservation Policy,0,"Promotes the efficient use of natural resources, focusing on four key improvement areas: the improvement of heater efficiency; maximize condensate recovery; reduce mass loss; reactivate on-line energy intensity index.",0,0,0,Bahrain,1
216,MITIGATION,Energy Efficiency,Appliances and equipment,LIGHTING,The Energy Efficient Lighting Initiative,0,project supports replacing energy inefficient ILs with efficient CFLs in the short term and with more efficient technologies such as LED based lamps in the medium term.,0,0,0,Bahrain,1
217,MITIGATION,Industry,Conventional power plant efficiency,UNDEFINED,Bahrain National Gas Company (Banagas),0,has completed a retrofit project of gas turbines which involves replacement of existing high NOx comustion liners resulting in an average reduction of 44% NOx emissions from the power generation station. ,0,0,0,Bahrain,1
218,MITIGATION,Carbon Fixation and Abatement,Fugitive emission control,OIL AND GAS FLARING REDUCTION,Tatweer Petroleum efficiency projects,0,"include manifold flare projects, associated gas compression projects, oilfiedl electrification projects and rental compressor stations projects have contributed to the reduction of CO2 emissions.",0,0,0,Bahrain,1
219,MITIGATION,Carbon Fixation and Abatement,Carbon capture and storage,CO2 CAPTURE TECHNOLOGIES *,Gulf Petrochemical Industries Company (GPIC) Carbon Recovery Project,0,is able to capture CO2 in the flue gases of the GPIC Methanol Plant. ,0,0,0,Bahrain,1
220,MITIGATION,Transport,Vehicle and fuel technologies,VEHICLE EMISSION STANDARDS,The Motor Vehicle Standards and technical regulations,0,are adopted to reduce the emissions from gasoline and diesel engine vehicles,0,0,0,Bahrain,1
221,MITIGATION,Transport,Aviation,UNDEFINED,Civil Aviation Authority - Emission Management Plan for Sustainable Aviation Growth,0,includes an aviation efficiency program. This is developed in response to the International Civil Aviation Organization (ICAO) 2010 Assembly Resolution A37-19.,0,0,0,Bahrain,1
222,MITIGATION,Transport,Aviation,AVIATION SUPPORT SYSTEMS,Bahrain Airport Company,0,recently achieve the Airport Carbon Accreditation 'Level 1 Mapping' from the Airports Council International (ACI). ,0,0,0,Bahrain,1
223,MITIGATION,Transport,Land Transport,UNDEFINED,Ministry of Transportation and Communications,0,continues to find ways and means to mitigate emissions from land transportation,0,0,0,Bahrain,1
224,MITIGATION,Transport,Land Transport,MODAL SHIFT FROM ROAD TO RAIL,0,"GCC Railway Project, and the Bhrain Light Rail Project",contributes to the redution of personal vehicle use and emissions.,0,0,0,Bahrain,1
225,MITIGATION,Renewable Energy,Bioenergy,ENERGY SUPPLY FROM WASTE,BAPCO Carbon Recovery Plan,0,utilizes Waste CO2 rich off gas stream which is to be used for industrial applications,0,0,0,Bahrain,1
226,MITIGATION,Renewable Energy,Undefined,UNDEFINED,Minister of Energy,0,The Kingdom of Bahrain established a unit for Sustainable Energy under the Ministry of Energy that focuses on energy conservation and renewable energy Policies. ,0,0,0,Bahrain,1
227,MITIGATION,Renewable Energy,Solar,SOLAR PV,BAPCO 5MW PV grid-connected plant,0,"aims at demonstrating PV solar technology under local conditions to support up scaling of renewable enrgy. The project consists of the installation of 21,000 smart solar panels to generate a substantial number of Kwhs of electricity annually. ",0,0,0,Bahrain,1
228,MITIGATION,Renewable Energy,Renewable energy infrastructure,GRID INTEGRATION FOR RENEWABLES *,The Electricity and Water Authority 5MW grid-connected pilot power plant from solar/wind sources is underway.,0,0,0,0,0,Bahrain,1
229,ADAPTATION,Marine and Fisheries,Artificial Reefs,ARTIFICIAL REEFS,The Artificial Reef Project,0,"aims to assist in the recovery of local fish stocks by landing artificial reefs in key zones. To build capacities and raise awareness, programs related to conservation, eco-system services and the sustainable use of biodiversity have been integrated inot the national education curricula. ",0,0,0,Bahrain,1
230,ADAPTATION,Water,Water efficiency and demand management,UNDEFINED,The National Water Resources Council,0,"Established in 2009, addresses ongoing challenges of water scaricity and resources and the strategy to in order to sustainably manage its water resources.",0,0,0,Bahrain,1
231,ADAPTATION,Water,Water efficiency and demand management,LEAKAGE MANAGEMENT IN PIPED SYSTEMS,0,Ministry of Electricity and Water - Water Conservation Initiative,"project involves the upgrading of the water distribution networks in order to minimize water leakages. The increased efficiency results in a reduction of water consumption and thus power generation required for desalinization, which in turn leads to a reduction of emissions. ",0,0,0,Bahrain,1
232,ADAPTATION,Coastal Zones,Retreat,COASTAL SETBACKS,Coastal Resilience to Sea-Level Rise,0,"Included in the Ministry of Works Dredging and Land Reclamation Technical Manual published in 2008. Using inter alia information found in Bahrain's Initial National Communication Report to the UNFCCC, the recommended reclamation levels considers the clearance for expected sea-level rise due to global warming of 0.4 meters. ",0,0,0,Bahrain,1
233,ADAPTATION,Coastal Zones,Accommodation,MANAGEMENT OF SEAGRASS BEDS,0,Seagrass Beds,"distributed along southeast coast, are a carbon sink. Needs a full understanding of how seagrass beds act as a carbon sink and planning to engage with the International Union for Conservation of Nature. ",0,0,0,Bahrain,1
234,ADAPTATION,Coastal Zones,Protection (soft engineering),MANGROVE CONSERVATION AND REHABILITATION,Mangrove Transplantation Project,Engage with internation Union for Conservation of Nature to understand mangroves as a carbon sink. ,cultivation of plants and planting mangrove seedlings in order to rehabilitate degraded coastal areas began in 2013. The Black Mangrove is found naturallyi n Bahrain and is able to sequester carbon and provide an efficient buffer for coastal protection. ,0,0,0,Bahrain,1
235,ADAPTATION,Infrastructure and Urban Planning,Building design and material,GREEN STANDARDS,0,"Ministry of Works, Municipalities Affairs and Urban Planning Sustainable and Green Building construction",projects will apply to the construction of new government building which will save energy and water. ,0,0,0,Bahrain,1
236,MITIGATION,Carbon Fixation and Abatement,Fugitive emission control,CHARCOAL PRODUCTION,0,Coal generation uses super-critical technology,100% of new coal based power plants use super-critical technology by 2030 - $16.5 billion USD,0,0,0,Bangladesh,1
237,MITIGATION,Carbon Fixation and Abatement,Undefined,UNDEFINED,0,25% reduction to GHG emissions ,0,0,0,0,Bangladesh,1
238,MITIGATION,Renewable Energy,Wind,UNDEFINED,0,Increased penetration of wind power,400 MW of wind generation by 2030 - .6 billion USD,0,0,0,Bangladesh,1
239,MITIGATION,Renewable Energy,Solar,CONCENTRATED SOLAR POWER,0,Utility Scale Power Plants (2020),1700 MW by 2030 of utility-scale solar power plant - utility-scale solar energy $1.3 billion USD,0,0,0,Bangladesh,1
240,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,Solar home systems (2020),"expanding solar homes programme 1.2 billion USD, 250 MW by 2030",0,0,0,Bangladesh,1
241,MITIGATION,Renewable Energy,Solar,SOLAR WATER PUMPS,0,0,"Other solar costs: solar irrigation pumps .6 billion USD, solar mini-grids .25 billion USD, solar nano-grids .27 billion USD, pico-solar .1 billion USD",0,0,0,Bangladesh,1
242,MITIGATION,Renewable Energy,Bioenergy,BIOGAS POWER,0,Policy energy efficiency and conservation in households,scaling biomass production from sugar - .2 billion USD,0,0,0,Bangladesh,1
243,MITIGATION,Renewable Energy,Bioenergy,UNDEFINED,0,Expand bio-gas plants to reduce emissions (2020),expand to 100 municipalities (2020),0,0,0,Bangladesh,1
244,MITIGATION,Transport,Land Transport,BUS RAPID TRANSIT,0,"Modal shift from road to rail, including bus rapid transit",shift passenger traffice from road to rail to 20% by 2030 compared to BAU - 2.7 billion USD,0,0,0,Bangladesh,1
245,MITIGATION,Transport,Land Transport,MODAL SHIFT FROM ROAD TO RAIL,0,"Modal shift from road to rail, including bus rapid transit",shift passenger traffice from road to rail to 20% by 2030 compared to BAU - 2.7 billion USD,0,0,0,Bangladesh,1
246,MITIGATION,Transport,Land Transport,TRAFFIC MANAGEMENT,0,"reduce congestion, build expressways",15% improvement in vehicle efficiency,0,0,0,Bangladesh,1
247,MITIGATION,Transport,Vehicle and fuel technologies,HYBRID ELECTRIC VEHICLES *,0,Hybrid vehicles,10000 hybrid and EV (2020),0,0,0,Bangladesh,1
248,MITIGATION,Transport,Vehicle and fuel technologies,ELECTRIC VEHICLES,0,Electric vehicles (2020),10000 hybrid and EV (2020),0,0,0,Bangladesh,1
249,MITIGATION,Transport,Vehicle and fuel technologies,UNDEFINED,0,"good quality fuel and engines (2020), broad gauge and electric locomotives (2020)","remove 86,000 unfit vehicles, complete 4 lane highways, and implement lithium-ion battery in all motorcycle and cars (2020)",0,0,0,Bangladesh,1
250,MITIGATION,Cross-sectoral Enablers and Approaches,Governance and planning,UNDEFINED,0,Energy audits for energy efficiency and conservation; Policy for energy effiicenty and conservation,10% of energy consumption reduction in this sector compared to BAU; 25% reduction of overall energy consumption of commercial sector compared to BAU,0,0,0,Bangladesh,1
251,MITIGATION,Energy Efficiency,Appliances and equipment,IMPROVED COOK STOVES,0,Policy mechanisms for efficient gas stoves; Improved cookstoves distribution (2020),"70% market share of improved biomass cookstoves, 20 million households in 2030; additional 6 million to be distributed",0,0,0,Bangladesh,1
252,MITIGATION,Energy Efficiency,Appliances and equipment,LPG AND LNG FOR HOUSEHOLD AND COMMERCIAL COOKING,0,Replace biomass with LPG for cooking,10% market swtich from biomass to LPG cooking compared to BAU,0,0,0,Bangladesh,1
253,MITIGATION,Water,Water augmentation (increasing capture and storage fo surface run off),RAINWATER HARVESTING EX SITU,0,Incentivise rainwater harvesting in comercial buildings,0,0,0,0,Bangladesh,1
254,MITIGATION,Industry,Conventional power plant efficiency,HIGHER EFFICIENCY STEAM BOILER,0,0,Repowering steam turbine with CCGT .63 billion USD,0,0,0,Bangladesh,1
255,MITIGATION,Industry,Chemicals management,SHIFT TO COOLANTS AND REFRIGERANTS WITH LOWER GWP,0,Phase out HCFCs and HFCs (2020),2.4 million tons of GHG reduced by 2030 (2020),0,0,0,Bangladesh,1
256,MITIGATION,Agriculture,Cropland,MACHINERY,0,Increase mechanisation in agriculture,50% reduction in draft animals,0,0,0,Bangladesh,1
257,MITIGATION,Agriculture,Cropland,MANURE COVERAGE,0,Increase organic manure in fertilizer,35% increase in organic fertilizer,0,0,0,Bangladesh,1
258,MITIGATION,Agriculture,Cropland,RICE CULTIVATION - INTENSIFICATION SYSTEMS,0,Increase rice cultivation using alternate wetting and drying irrigation,20% of rice cultivation uses alternate irrigation,0,0,0,Bangladesh,1
